FEN,Moves,MateIn,Winner
5rk1/6pp/3R4/p7/1p5q/1P1Q4/2B3PP/R3r2K w - - 1 34,a1e1 h4e1 d3f1 f8f1,2,Black
r2q1kQ1/1p5B/p1nppp2/8/8/5N2/PP3PPP/6K1 b - - 3 20,f8e7 g8g7 e7e8 h7g6,2,White
6k1/p3B3/2b2bPQ/q1P5/4p3/P2r4/8/5R1K b - - 0 39,e4e3 h1g1 e3e2 h6h7,2,White
6Qk/2R3pp/pq2p3/1p2N3/8/7P/b4PP1/6K1 b - - 0 28,h8g8 c7c8 b6d8 c8d8,2,White
5rk1/1p1R1Qpp/2p5/p3p1B1/4P2P/6qB/1PP5/4b2K b - - 0 27,f8f7 d7d8 f7f8 h3e6 g8h8 d8f8,3,White
2r3kb/4pp1p/3p1npB/4PN1P/6P1/rp3P2/1PqQ4/K2R3R w - - 0 26,b2a3 b3b2 a1a2 b2b1q,2,Black
4r2k/ppp2p1B/5p2/7q/Q7/2P2P2/PP3P1P/6RK w - - 7 26,a4d4 h5f3 g1g2 e8e1,2,White
3k2r1/p1p1np2/QBp4p/3pP3/6q1/2N2N2/PP3P1K/R4R2 w - - 3 24,f1g1 g4h5 f3h4 h5h4,2,Black
6kR/pp2qpb1/2prr3/4PQp1/3P2P1/5P2/PP6/2K4R b - - 1 27,g7h8 f5h7 g8f8 h7h8,2,White
6k1/1R3pp1/p4n1p/8/PP1bPP2/1N4P1/3r2rP/6RK w - - 0 39,g1g2 d2d1 g2g1 d1g1,2,Black
2r3k1/p4Qpp/1pr5/3p4/3P4/4q1P1/PP3RKP/8 b - - 1 32,g8h8 f7f8 c8f8 f2f8,2,White
5rk1/5ppb/1pN5/3P1P1P/1PP1n3/4q2P/1QK5/r4BR1 b - - 6 31,a1a2 g1g7 g8h8 g7g8 h8g8 c6e7,3,Black
2r1k2r/pp3p1p/4pQp1/1b1pPn2/3P1P2/B7/P4RPP/RNq3K1 w k - 8 20,a3c1 c8c1 f2f1 c1f1,2,Black
4Q3/3R3p/7k/2P5/1P6/3Q2p1/5qP1/7K w - - 3 40,e8a8 f2e1 d3f1 e1f1,2,White
1k4r1/ppp2q2/2n5/7p/3PR3/2PB4/PP1Q2KP/RN6 w - - 1 24,g2h1 f7f3 d2g2 f3g2,2,Black
r3rk2/4q3/6QP/p2p4/PbN5/1P3P1N/1BP5/2K4R w - - 1 30,h6h7 e7e1 h1e1 e8e1,2,White
4R3/4Pkpp/8/3N1K2/8/p7/rp6/8 b - - 0 40,f7e8 f5e6 g7g6 d5c7,2,Black
r1r4k/4pQ1p/3p1bp1/8/1P2P3/5N2/B4PPP/R1q3K1 w - - 0 23,a1c1 c8c1 f3e1 c1e1,2,Black
5rkR/r2nb1p1/1q2p1B1/p2p4/5PP1/4p3/PPQ5/R1B1K3 b Q - 1 22,g8h8 c2h2 e7h4 h2h4 h8g8 h4h7,3,White
r3k2r/4ppbp/2Pp2p1/1B2n3/1p6/1P3P2/1BPQ2PP/q1KR3R w kq - 3 20,b2a1 a8a1 c1b2 e5c4,2,Black
6k1/p2R1r2/4Q2p/4B1p1/2p1p3/8/P1r2bPP/5RK1 w - - 0 23,f1f2 c2c1 d7d1 c1d1 f2f1 d1f1,3,White
2krr3/pp3pp1/8/2b4p/2p4n/P5N1/BPPQ1q1P/3R1K1R w - - 0 21,d2f2 d8d1 f2e1 d1e1,2,Black
4Q1k1/1pr2rp1/6p1/pBPp4/Pn1P4/1P3Pq1/1K6/2R4R b - - 3 35,f7f8 h1h8 g8h8 e8f8 h8h7 c1h1 g3h2 h1h2,4,White
5rkr/1p2RB1p/p2p3Q/2n5/2Pq1PP1/8/PP6/2K4R b - - 0 31,f8f7 e7e8 f7f8 h6f8,2,White
1Q4k1/1pp1rppp/p1qp4/8/8/2P5/PP1n1PPP/4R1K1 b - - 1 22,c6e8 b8e8 e7e8 e1e8,2,White
rnb2rk1/pp4pp/2p5/3p1p2/3Pn2q/2NBPP2/PP4Pb/R1BQRNK1 w - - 0 13,f1h2 h4f2 g1h1 e4g3,2,Black
r4r2/5p1k/2p2R1p/pp1pR3/3P2Q1/4P1K1/Pq4PP/8 b - - 1 28,f8g8 f6h6 h7h6 e5h5,2,White
n1r2rkQ/p2q3p/3P2pP/2p5/1P6/P4R1P/8/5RK1 b - - 1 37,g8h8 f3f8 c8f8 f1f8,2,White
2R3k1/4rpp1/3p2b1/3P4/4p1P1/P3P2P/1P3Q1K/3q4 b - - 1 36,g8h7 f2h4 g6h5 h4h5,2,White
rn6/1k1R2p1/1pp5/8/5Q2/p7/q4PPP/3R2K1 b - - 0 24,b8d7 d1d7 b7a6 f4a4,2,White
8/5kpp/5p2/BR6/1Ppb4/8/P1Pr2bP/6RK w - - 0 35,g1g2 d2d1 g2g1 d1g1,2,Black
r1b3k1/ppp3p1/7p/5B2/3p1Pn1/3P4/PPPB2Pq/R2QR1K1 w - - 1 23,g1f1 h2h1 f1e2 h1g2,2,Black
1b5r/r4pk1/p7/1p1p2K1/3Pn1N1/P3B1P1/1P3P1P/2R2R2 w - - 3 33,g5f5 h8h5 e3g5 h5g5,2,Black
5rk1/p4Qpp/7q/8/4P3/2P5/P5PP/3R1R1K b - - 0 25,f8f7 d1d8 f7f8 f1f8,2,White
r4rk1/pp5Q/4bBp1/2pqN3/2pP1R2/8/PPP3PP/3R2K1 b - - 0 21,g8h7 f4h4 h7g8 h4h8,2,White
Q4bk1/5ppp/2p2n2/p1Pp4/8/1r2PN2/1B3PPP/q5K1 w - - 0 26,b2a1 b3b1 f3e1 b1e1,2,Black
r1b1k2N/pppp2pp/8/2q1p3/2B1n3/5n2/PPP3PP/RNBQ1RK1 w q - 1 11,g1h1 c5g1 f1g1 e4f2,2,Black
5r1k/pp5p/2P4r/8/P2Pp3/8/1P2RP2/4QKq1 w - - 0 36,f1g1 f8g8 g1f1 h6h1,2,Black
5r1k/5pb1/p2pqN1Q/1r4R1/p1p1P1R1/6PP/6PK/8 b - - 0 31,g7h6 g5g8 f8g8 g4g8,2,White
r1bq2kR/pp1nb1p1/2p1prB1/3p1p2/3P1P2/1P2P3/PBPN2PP/R2Q2K1 b - - 3 15,g8h8 d1h5 h8g8 h5h7 g8f8 h7h8,3,White
8/8/5pkp/8/3P4/Q4P1b/2r1q1PP/R5RK w - - 9 30,a1e1 h3g2 g1g2 e2g2,2,White
6r1/1pp2r1k/4Q2P/3N4/1q3P2/bn1pP3/P2P4/BK1R4 w - - 1 28,d5b4 b3d2 d1d2 g8g1 d2d1 g1d1,3,White
6k1/ppr2p2/2r1pBp1/4P1P1/2PpR3/1P6/P4P2/7K b - - 0 35,g8f8 e4h4 f8e8 h4h8 e8d7 h8d8,3,White
7k/2pnQ1R1/3p1npB/3r3p/2q4P/2N2P2/1P3PK1/8 b - - 4 32,d5e5 g7h7 f6h7 e7g7,2,White
2r3k1/1p3pp1/p7/3P3p/P4R1P/1P3bB1/3R1P2/5qK1 w - - 0 30,g1f1 c8c1 d2d1 c1d1,2,Black
6k1/5p2/Q5pK/7P/2P1P3/p7/6q1/8 b - - 2 43,g2e4 a6c8 e4e8 c8e8,2,Black
k2r1b2/pp2p1pr/4R3/2Rp4/3B1Q1p/q1N5/P1P2PPP/6K1 w - - 1 25,f4c7 a3c1 c3d1 c1d1 e6e1 d1e1,3,White
2q3k1/5pp1/5n1p/3p3r/1P6/P1N2bP1/3Q1PP1/2R2RK1 w - - 4 23,c3d5 h5h1 g1h1 c8h3 h1g1 h3g2,3,Black
3r4/3P4/p3P3/1p3Bp1/6P1/8/PP3k1K/3RR3 w - - 0 44,e6e7 d8h8 f5h7 h8h7,2,White
1k5Q/3R4/5b2/5p2/8/8/P1K1b1r1/7R b - - 0 46,f6h8 h1h8 g2g8 h8g8,2,White
2r1r1k1/3R3p/p1p1PpQB/1p2q3/2n2N2/2P5/PP4PP/1K6 b - - 0 28,h7g6 d7g7 g8h8 f4g6,2,White
5qk1/pp4p1/6Q1/6N1/1bPp4/3n4/PP4PP/R3r1K1 w - - 3 27,a1e1 f8f2 g1h1 f2e1,2,Black
5rr1/1p6/p6p/8/3N4/8/k3N2P/1R5K w - - 0 42,b1b7 f8f1 e2g1 f1g1,2,White
4r1k1/pp2r3/5p2/5p2/1bb2N2/1P4B1/P4PPP/3R1K1R w - - 0 25,b3c4 e7e1 d1e1 e8e1,2,Black
3q1r1k/4b1p1/p2p1pPQ/2rBpP2/2p4R/7P/PP3P2/5RK1 b - - 0 26,g7h6 h4h6 h8g7 h6h7,2,White
8/5pk1/Q1P3p1/3B3p/5P1P/1P3RP1/P3rbK1/4q3 w - - 0 39,a6e2 e1g1 g2h3 g1h1,2,Black
5rk1/2p4p/1p1pN1p1/3Pp3/2P1R3/3Q4/r4qPP/R6K w - - 2 27,a1g1 f2g1 h1g1 a2a1 e4e1 a1e1 d3f1 e1f1,4,Black
2r3k1/p6p/1p1pbppB/4b3/2P1P2K/3B1R1P/6q1/1R1Q4 w - - 0 25,d1f1 g6g5 h6g5 g2g5,2,Black
r1r5/5pk1/4p3/4PpP1/1PpP1n2/P4NKq/5P2/R1R1Q3 w - - 4 38,g3f4 h3g4 f4e3 g4e4 e3d2 e4d3,3,Black
7k/5p1P/p3rp1N/4n2Q/5pp1/q1P5/P4P2/3K4 b - - 4 30,e5f3 h6f7 h8g7 h7h8q,2,Black
r4Bk1/pp3p2/7p/3N2p1/2BpPbbq/2P5/PPQ2KP1/R3R3 w - - 1 27,f2g1 h4h2 g1f1 h2h1 f1f2 f4g3 f2g3 h1h4,4,Black
r4r1k/1p2NppR/p2pb3/2n5/2P1P3/5PP1/PPB2K2/R7 b - - 0 23,h8h7 a1h1 e6h3 h1h3,2,White
2k2rr1/1pp3R1/p3R3/3pQ1p1/3P4/2P1P3/PP3q2/2K5 b - - 0 29,g8g7 e6e8 f8e8 e5e8,2,Black
8/6k1/2P1pp2/6pp/B3PKP1/2R2P2/r7/6b1 w - - 0 49,f4g3 h5h4 g3h3 a2h2,2,Black
r1b1qbr1/ppp1pNk1/1n1pP1pp/4Q3/7P/1P6/PBPP1PP1/RN2K2R b KQ - 0 14,d6e5 b2e5 g7h7 f7g5 h6g5 h4g5 f8h6 h1h6,4,White
8/pp3Q1p/2pkp3/3n4/6nB/5NP1/PP2qPKP/3R4 w - - 1 27,d1d2 g4e3 g2h1 e2f1 f3g1 f1g2,3,White
6k1/1b1p1rp1/1p2p2P/q1p3Q1/1n2P3/1P1P4/1BP2r2/1K1R1B1R w - - 1 29,h6g7 a5a2 b1c1 f2c2,2,White
5r2/p5R1/2pp1r2/4bP1k/8/2PB2p1/PP3pP1/3K1R2 b - - 4 39,h5h6 g7g4 h6h7 f1h1 f6h6 f5f6 h7h8 h1h6,4,White
2Q3k1/5ppp/3p1b2/3P4/8/4R3/5PPP/2q1R1K1 b - - 0 33,c1c8 e3e8 c8e8 e1e8,2,White
8/1p3p1k/5Pp1/6rp/7P/8/PPP5/1K2R3 w - - 1 33,e1e7 g5g1 e7e1 g1e1,2,White
5r1k/6pb/2p3np/pp6/3Qn3/P1NPP2P/BPP3Pq/R3RK2 w - - 1 24,f1e2 h2g2 e2d1 g2d2,2,Black
1k1r1r2/2p5/Q1p4p/2P1qbp1/8/4p2P/P4PP1/1R3RK1 b - - 1 25,f5b1 f1b1 e5b2 b1b2,2,White
3rr1k1/pb3p1P/4p2B/8/8/3B4/qP1bQ1PP/4R2K b - - 0 24,g8h8 e2e5 f7f6 e5f6,2,White
8/p4pk1/8/3P3p/2p1bP1P/P3N3/1P1R4/K1r5 w - - 4 38,a1a2 e4b1 a2a1 b1c2 a1a2 c2b3,3,Black
r4k1r/2R2ppp/4p3/2QpP3/6P1/8/q2BKP1P/8 b - - 2 22,f8g8 c7c8 a8c8 c5c8,2,White
r4r2/ppp4k/3p2pb/3Np3/2Pn3q/1P1n4/PB1P2Q1/1BRK2N1 b - - 5 25,d3c1 g2g6 h7h8 g6h7,2,Black
3r1rk1/ppp2ppp/1b6/2q5/N1B2Bn1/5n2/PP3PPP/R1Q1R1K1 w - - 2 21,g2f3 c5f2 g1h1 f2f3,2,Black
r3k3/pp2P1p1/2p1K3/6p1/6P1/8/P4n1P/5R2 b - - 9 42,a8c8 f1f2 c6c5 f2f8,2,White
2k5/1bp5/1pnpp2q/pB4b1/P1NPP3/2P2Rp1/1P2Q1P1/3R3K w - - 1 28,h1g1 h6h2 g1f1 h2h1,2,Black
r1b1r3/pppq3k/3p1Bp1/3P1p2/2P4Q/3p4/P5PP/5RK1 b - - 1 24,h7g8 h4h8 g8f7 h8g7,2,White
2r2k2/R5Rp/6p1/4N3/8/4n2P/P1r3PK/8 w - - 2 34,g7h7 c2g2 h2h1 c8c1,2,White
3r1r1k/5Npp/5p2/3QP3/2P5/1q6/6P1/5RK1 b - - 3 27,f8f7 d5d8 f7f8 d8f8,2,White
1r3r2/R5pk/2p4p/3pp3/Q7/8/5qPP/5RK1 w - - 0 33,f1f2 b8b1 a4d1 b1d1 f2f1 d1f1,3,Black
r1bqR1k1/1pp2pp1/p1np1n1p/1N6/8/3B4/PPP1QPPP/4R1K1 b - - 1 18,f6e8 e2e8 d8e8 e1e8,2,White
2k3r1/pp3p2/1p1p3p/4P3/1P2P3/P4q2/3Q1PrP/2RR1K2 b - - 2 25,c8b8 d2d6 b8a8 d6d8 g8d8 d1d8,3,White
6k1/1R6/p1R4p/P2p1p2/r5p1/5PPK/3r3P/8 w - - 0 36,f3g4 f5g4 h3h4 d2h2,2,Black
8/4Qbkp/5p2/4p1p1/p5P1/B3q3/PPr5/K6R b - - 7 38,e3f3 e7f8 g7g6 f8h6,2,Black
1k3rr1/2p5/1p5b/1P1NPBqp/2bP4/5Q1K/2P2R2/R7 b - - 0 33,f8f5 a1a8 b8a8 d5b6 a8a7 f3a3 a7b7 a3a6 b7b8 a6a8,5,Black
4rrk1/pp6/6p1/3p3p/3R2n1/1PN4Q/P4qPP/5RK1 w - - 0 23,f1f2 e8e1 f2f1 e1f1,2,Black
Q4rk1/p2N1p2/b6p/3P2p1/8/8/PPr2qPP/5RK1 w - - 0 32,f1f2 c2c1 f2f1 c1f1,2,Black
6k1/p5p1/1p3r1p/1N1pR3/PP6/6Pb/5B1Q/3q2K1 w - - 1 35,e5e1 d1e1 f2e1 f6f1,2,Black
8/6pp/2p5/p4kPK/1p5P/1PP5/8/8 w - - 0 36,c3b4 a5b4 g5g6 h7g6,2,Black
r1b1r1k1/pppp2pp/2n5/8/3q4/3B1N2/PPP1K1PP/RN1Q1R2 w - - 4 13,e2d2 d4f4 d2c3 f4b4,2,Black
1r6/8/3R4/pp3k2/2pP1p2/P1P2b1r/1P3P1K/6R1 w - - 0 37,h2h3 b8h8 d6h6 h8h6,2,Black
1q1r2k1/1b3ppp/pp2p3/2b5/2P2PQ1/1PN5/PB2R1PP/1B1r3K w - - 1 27,c3d1 d8d1 e2e1 d1e1,2,Black
1r1k4/7R/8/4Pp2/3PbP2/qPp5/4Q3/K3R3 w - - 1 41,e2a2 a3a2 a1a2 b8a8 h7a7 a8a7,3,Black
4r1k1/1R3R1p/3B4/6p1/p7/P4P1P/8/4r1K1 w - - 1 32,g1g2 e8e2 g2g3 e1g1,2,Black
2Q4k/5Rp1/3p3p/Pp6/1P1bP1Pq/3P3P/2r5/5K2 b - - 2 33,h8h7 c8f5 h7g8 f7f8,2,Black
5rk1/6pp/2p2r2/1P1p4/3Pp3/8/1B2QbPq/R4R1K w - - 0 27,h1h2 f6h6 e2h5 h6h5,2,Black
r2q1b1r/p2bnkp1/1p2p3/nP1pP1Np/P1pP3P/2PB4/2Q2P2/RNB1K2R b KQ - 1 17,f7g8 d3h7 h8h7 c2h7,2,White
4n2k/1b3pbP/p3p2B/1p2q3/4P1Q1/1N1r4/2K5/6R1 b - - 1 33,e5e4 h6g7 h8h7 g4h5 h7g8 h5h8,3,Black
4R1k1/p2n2p1/2p4p/2pp2b1/8/8/PP2B2r/3K1R2 b - - 1 27,g8h7 e2d3 g7g6 f1f7,2,White
5r1k/3R3p/p4QpB/1p1Pp3/5p2/1P6/1q4PP/2r2RK1 b - - 3 26,f8f6 d7d8 f6f8 d8f8,2,White
r3q2r/pp1bn1p1/1bn1N1k1/3pP3/3P1pQP/B1P5/P4PP1/RN2K2R b KQ - 0 16,g6f7 g4g7 f7e6 g7f6,2,White
5b1r/pQ4p1/R6p/2ppB2P/k1b5/8/P1PK1PP1/5q2 b - - 8 30,c4a6 b7b3 a4a5 e5c3,2,White
8/R7/4pp1k/6r1/2pP4/2P2b1P/PPB1nP1K/4R3 w - - 1 41,h3h4 g5g2 h2h3 e2f4,2,White
r1b3kr/p5p1/1p2p1BN/3q4/4nQ2/2P5/PP2KbPP/R6R b - - 0 20,h8h6 f4f7 g8h8 f7e8,2,White
2R2bk1/4rp2/p2p1Q1p/P5p1/8/7P/1P3PPK/4rq2 b - - 7 33,e1e6 c8f8 g8f8 f6h8,2,Black
1q6/6pk/p6p/3Q4/P5PK/2P2q1P/5P2/8 w - - 0 38,d5f3 g7g5 h4h5 b8e8 f3f7 e8f7,3,Black
6rk/1pb2p1Q/p3nPp1/4q3/4B3/3R4/PP4PP/5R1K b - - 0 26,h8h7 d3h3 e5h5 h3h5,2,White
r4rBk/1b2bpp1/p3p3/8/1Pp2q2/7R/2Q3PP/4R2K b - - 1 26,f4h6 h3h6 g7h6 c2h7,2,White
7k/2q3rp/p4Q2/1p1p4/3P4/P5r1/1P3PK1/2R2R2 w - - 0 38,f2g3 c7g3 g2h1 g3h3,2,Black
2b1r1k1/2rN3p/7R/p2p1pPN/1p1PqP2/4P3/PP1Q4/1K5R w - - 1 32,b1a1 e4h1 d2c1 c7c1,2,Black
Q7/4bk2/4pp1K/1r6/4n3/8/6P1/8 w - - 0 44,a8e4 e7f8 h6h7 b5h5,2,Black
8/5p1k/ppqp1Bp1/2b5/6Q1/3B3P/P4PPK/4r3 b - - 4 30,c5f2 g4h5 h7g8 h5h8,2,White
4N3/4R3/p5kp/3p1b2/8/1P4P1/1PPq3P/1K3R2 w - - 3 34,f1e1 f5c2 b1a1 d2a5,2,White
3r3r/ppq1b1pp/2b2n2/5Qk1/3R4/3B4/PPP2PPP/2KR4 b - - 1 17,g5h6 d4h4 f6h5 f5h5,2,White
1qr2r1k/p5pR/4Q1p1/8/3b4/1PN1P3/P2K1PP1/2R5 b - - 0 26,h8h7 c1h1 b8h2 h1h2,2,White
7r/p1b1kp2/5p2/P3p3/1P1P2p1/3Q2Pr/5P1P/3R2Kq w - - 0 28,g1h1 h3h2 h1g1 h2h1 g1g2 h8h2,3,Black
4r1k1/p4pp1/2Qp3p/8/3P2q1/P1P5/1B3n1P/5R1K w - - 0 24,f1f2 e8e1 f2f1 e1f1,2,Black
1r4k1/p1P2ppp/8/2Qp4/1K1B1P2/1P3qPn/P6r/2RR4 w - - 9 35,b4a3 h2a2 a3a2 f3b3 a2a1 b3a4 c5a3 a4a3,4,White
6rk/2b2p1p/p1pq1p2/3p1Q2/1P1N3P/2P2N2/P3RPr1/4R1K1 w - - 0 24,g1f1 g2g1 f3g1 g8g1 f1g1 d6h2 g1f1 h2h1,4,Black
r2r2k1/bpp2p1Q/p2q4/3bN3/3P4/6nP/PPB2PP1/4R1K1 b - - 1 25,g8f8 e5d7 d8d7 h7h8,2,White
2brr1k1/p3bp1Q/1qp3p1/5R2/4B3/P1B5/1PP3PP/R6K b - - 0 21,g8h7 f5h5 h7g8 h5h8,2,White
rn1k1b1r/pQ2p1pp/2p1BP2/8/8/4B3/PPPK1P1P/3b2q1 b - - 1 15,e7f6 b7c8 d8e7 e3c5,2,White
4R3/6pk/4R1rp/p4Q2/5p2/5P1P/6P1/4q1K1 w - - 6 45,g1h2 e1g3 h2g1 g3g2,2,White
6rk/1b3p1Q/p1q2Pp1/1p1r4/3p1R2/P2B4/1PPR2PP/7K b - - 0 31,h8h7 f4h4 d5h5 h4h5,2,White
r5k1/2pq1p1p/2bp1B2/p5Q1/1p3P2/7P/PPP1r1P1/R4RK1 b - - 2 23,g8f8 g5g7 f8e8 g7g8,2,White
1n3rk1/1QB1p1bp/p5p1/1p2Np2/3qpP2/8/PP3nPP/RN3R1K w - - 2 21,f1f2 d4d1 f2f1 d1f1,2,Black
3r2r1/pppQ2R1/4P2k/2b5/6P1/1P6/PBn3PP/RN5K w - - 1 20,d7f7 d8d1 f7f1 d1f1,2,White
4Q3/5ppk/r1p4p/3p4/6n1/P1B3Pq/4bP1P/R1R3K1 w - - 6 26,e8e2 h3h2 g1f1 h2h1,2,Black
1q5k/3P1Qpp/8/5p2/5P2/5B1P/6PK/2q2b2 b - - 0 39,c1d2 f7e8 b8e8 d7e8q,2,Black
r2qnr1k/pp3N1P/5nR1/3p4/5P2/2pQ4/PP3P2/2K3R1 b - - 0 24,f8f7 g6g8 f6g8 h7g8q,2,White
r6k/pb3B1p/5b2/1p3NQ1/3p4/1P6/PBP2K1P/8 b - - 0 28,f6g5 b2d4 g5f6 d4f6,2,White
6rk/1b3RBp/p7/8/6pK/p2P3P/B1P3r1/8 b - - 5 37,g8g7 f7f8 g7g8 f8g8,2,White
5k2/1bp3p1/p7/1p2Pq1p/8/1B1P2r1/PP2Q3/1R3RK1 w - - 2 30,g1h2 g3h3 h2g1 h3h1,2,Black
6k1/p3pp1p/6p1/3Q4/4P3/5B2/P2q1RPP/2r3K1 w - - 1 23,f2f1 d2e3 g1h1 c1f1,2,Black
2k5/p1p2p1p/1p5r/P2BB3/1b2Pp1q/5p1P/5K2/R4Q1R w - - 1 28,f2f3 h4g3 f3e2 g3e3 e2d1 e3d2,3,Black
6Qk/4R1pp/p3p3/1pq3r1/8/P1P1P2P/1P3RP1/6K1 b - - 0 35,h8g8 e7e8 c5f8 f2f8,2,White
2r1r3/2pk1pp1/1pNB4/3q3p/3P3n/2Q2P1P/PP6/2R1R1K1 b - - 0 25,c7d6 c6b8 c8b8 c3c7,2,Black
7r/3R4/2p2Pp1/4pkPp/2N1N3/2P1KP2/r5nP/7R w - - 4 34,e3d3 g2f4 d3e3 a2e2,2,Black
6k1/Q5pp/4b3/4p3/5p2/5P2/P2rqBPP/r3R1K1 w - - 0 31,e1a1 d2d1 a1d1 e2d1 f2e1 d1e1,3,Black
2k5/R3PBp1/1p4P1/5r2/8/6B1/Pr1bP2P/4K3 w - - 0 32,e1d1 f5f1 g3e1 f1e1,2,Black
N6Q/pp1pkppp/5n2/8/3n4/4q1P1/PPP1B2P/RN2K3 w Q - 1 16,b1c3 d4f3 e1f1 e3g1,2,Black
Q7/5R2/8/8/5p2/7p/5kp1/7K w - - 0 46,h1h2 g2g1q h2h3 g1g3,2,Black
2b2qrk/p2r1p2/1p1p1Pp1/4p2Q/2P1P3/1P1B3R/P5PP/2R3K1 b - - 0 28,g6h5 h3h5 f8h6 h5h6,2,White
1k6/pp6/q3p3/P2pP3/BP1P2N1/2Q2pP1/5P2/6Kr w - - 1 40,g1h1 a6f1 h1h2 f1g2,2,Black
3k2r1/p5q1/1P1p4/P7/4R3/3Q1P2/8/5qK1 w - - 0 38,g1f1 g7g1 f1e2 g8g2,2,Black
2R5/3p2k1/p3p1B1/4P3/4R1p1/P5Pp/1r3r2/6K1 w - - 1 41,e4g4 h3h2 g1h1 f2f1,2,Black
r5k1/1p3ppp/4p3/3nPP2/r5PP/PqP5/1P1Q4/K2RR3 b - - 0 28,d5c3 d2d8 a8d8 d1d8,2,Black
8/1p4pp/3N1p2/4q2k/r7/8/P1QB1PPP/R5K1 w - - 6 29,c2a4 e5a1 d2c1 a1c1 a4d1 c1d1,3,White
r1b2rkR/1p4p1/1q2p1P1/3pn3/1p1P4/P7/6P1/R1BQK3 b Q - 1 21,g8h8 d1h5 h8g8 h5h7,2,White
2R2k2/1b2pr2/pq1pQb1p/1p3Np1/8/6BP/5PP1/6K1 b - - 5 30,b7c8 e6c8 b6d8 c8d8,2,White
4r3/p4p1k/4r3/2P4p/N5n1/1P3P2/P1RQ2P1/2R1q1K1 w - - 1 38,d2e1 e6e1 c1e1 e8e1,2,Black
1k6/1pN1rq2/pPbQ4/b1p5/2P5/4B2P/6P1/7K b - - 0 37,e7d7 c7a6 b8c8 d6b8,2,Black
6rk/1p4b1/2p1P1Rp/3p3Q/Kp1Pp3/4q3/8/8 b - - 1 41,e3d4 g6h6 g7h6 h5h6,2,Black
b4r2/2R2pk1/p3pqp1/4P2p/2Q2P2/P1N5/7r/5R1K w - - 0 26,h1h2 f6h4 h2g1 h4g3,2,Black
5rk1/5p2/2p3Rp/3p3N/1P1P4/2P3QP/5rPK/2q5 b - - 0 36,f7g6 g3g6 g8h8 g6g7,2,White
6Qk/p1p2r1p/1p4pB/2n1p3/2P1q3/P1P4P/5P1K/3R2R1 b - - 0 24,h8g8 d1d8 f7f8 d8f8,2,White
r3r2k/pp4pp/2p5/2b2p2/8/1Q1B1bPq/PPP4P/R1B2R1K w - - 0 23,f1f3 e8e1 f3f1 e1f1 d3f1 h3f1,3,Black
r1bb1rk1/ppR2Qpp/7B/4p3/2n1P3/6P1/Pq3PBP/3R2K1 b - - 0 21,f8f7 d1d8 f7f8 c7g7 g8h8 d8f8,3,White
r5k1/4Rp2/1qP3pp/1p1pQb2/1P1N4/6P1/r4PP1/4R1K1 w - - 5 39,d4f5 b6f2 g1h2 f2g2,2,White
8/pQ4k1/1p2ppP1/1P2b3/P7/3B2PK/8/6q1 b - - 3 50,g7h6 b7h7 h6g5 h7h4,2,White
4q3/1k6/8/1K6/2Q1N3/b7/8/8 w - - 20 69,b5a5 e8a8 c4a6 a8a6,2,Black
8/pp3Qpk/2p4p/5P1B/2PnP2P/6PK/2q5/8 b - - 0 37,c2e4 h5g6 h7h8 f7f8,2,White
2r2Q1k/1b4bp/1p2p1pQ/pP2P3/n3p3/8/N1q3PP/R4R1K b - - 0 29,g7f8 f1f8 c8f8 h6f8,2,White
k6R/Pp6/8/b1B2q2/3Pp3/4P3/4r3/3K4 b - - 1 44,a5d8 h8d8 f5c8 d8c8,2,White
r4rkR/2qb2p1/p1n1pp2/1pPp2N1/1P6/1NP1P1P1/P4PP1/R2QK3 b Q - 1 16,g8h8 d1h5 h8g8 h5h7,2,White
QQ6/5pk1/4p3/3pPbq1/8/6rp/5P2/R4RKB w - - 0 33,f2g3 g5g3 h1g2 g3g2,2,Black
r7/8/6p1/PR4Pp/R6k/8/4r3/6K1 b - - 7 53,h4g3 b5b3 e2e3 b3e3,2,White
8/1pR5/p4k2/8/7r/2NB2p1/PPP3P1/4r1K1 w - - 1 29,d3f1 h4h1 g1h1 e1f1,2,Black
8/p1Q2pkp/2p5/8/2q2N1r/8/PP4PP/5R1K w - - 9 34,f1f2 c4c1 f2f1 c1f1,2,White
3r3k/6R1/p4P1p/2q1p2P/1pp5/5Q2/PPP5/2K5 w - - 1 33,f3f5 c5e3 c1b1 e3e1,2,White
1kn2rr1/1b1R4/p7/1pQ5/4Pq2/5P2/PPP3PP/3R2K1 b - - 2 28,f4f3 c5c7 b8a7 c7b7,2,Black
5rk1/pp4p1/7p/3pp2Q/P2n4/2Pbq2N/1P1N1bPP/R1BK3R w - - 1 21,c3d4 f8c8 d2c4 d3c2 d1c2 c8c4 c2b1 e3d3 b1a2 c4a4,5,Black
3r1r2/2p2kpp/1p6/pBbbPp2/P4P2/2P1p1P1/2P4P/R1B1R2K w - - 2 21,h1g1 e3e2 c1e3 c5e3,2,Black
r2qkb1r/pp1n1B2/2pQ3p/4P1pn/6b1/2N2NP1/PPP5/R1B2RK1 b - - 4 15,e8f7 f3g5 f7g7 f1f7 g7g8 d6g6 h5g7 f7g7 f8g7 g6f7,5,White
6k1/p2pp2p/b1p3p1/6N1/2P4Q/4q3/2K5/r4R2 b - - 8 31,a1f1 h4h7 g8f8 h7h8,2,Black
